_id,latitude,longitude,icon,labels,title
ObjectID(52017e5dfa747515a7000001),51.399552,-2.4508825,"measle_brown","nlud-pdl-2009 hca ukgov brownfield","FORMER RAILWAY LAND"
ObjectID(52017e5dfa747515a7000002),51.416784,-2.5009079,"small_red","nlud-pdl-2009 hca ukgov brownfield","CHARLTON ROAD CAR PARK"
ObjectID(52017e5dfa747515a7000003),51.41634,-2.5016795,"small_red","nlud-pdl-2009 hca ukgov brownfield","LAND ADJOINING 2"
ObjectID(52017e5dfa747515a7000004),51.364314,-2.6097863,"measle_brown","nlud-pdl-2009 hca ukgov brownfield","LAND AT"
ObjectID(52017e5dfa747515a7000005),51.318835,-2.5278356,"measle_brown","nlud-pdl-2009 hca ukgov brownfield","FORMER COAL DEPOT"
ObjectID(52017e5dfa747515a7000006),51.361487,-2.5504447,"measle_brown","nlud-pdl-2009 hca ukgov brownfield","LAND AT FORMER PENSFORD COLLIERY"
ObjectID(52017e5dfa747515a7000007),51.281685,-2.474388,"small_red","nlud-pdl-2009 hca ukgov brownfield","FORMER PRATTENS JOINERY STORE"
ObjectID(52017e5dfa747515a7000008),51.284149,-2.4699254,"small_red","nlud-pdl-2009 hca ukgov brownfield","STREET RECORD MAIN ACCESS ROAD TO"
ObjectID(52017e5dfa747515a7000009),51.292092,-2.4645569,"small_red","nlud-pdl-2009 hca ukgov brownfield","FORMER SEWAGE WORKS"
ObjectID(52017e5dfa747515a700000a),51.290147,-2.4444032,"small_red","nlud-pdl-2009 hca ukgov brownfield","FROME ROAD"
ObjectID(52017e5dfa747515a700000b),51.293847,-2.4362786,"small_red","nlud-pdl-2009 hca ukgov brownfield","FORMER MILL ROAD INDUSTRIAL ESTATE"
ObjectID(52017e5dfa747515a700000c),51.308211,-2.5044729,"small_red","nlud-pdl-2009 hca ukgov brownfield","CLOSED POLESTAR PURNELL FACTORY SITE ACCESS ROAD TO WORKS PAULTON BATH ANS NORTH EAST SOMERSET"
ObjectID(52017e5dfa747515a700000d),51.417694,-2.4854589,"small_red","nlud-pdl-2009 hca ukgov brownfield","LAND ADJACENT TO SEWAGE WORKS"
ObjectID(52017e5dfa747515a700000e),51.335177,-2.3076671,"small_red","nlud-pdl-2009 hca ukgov brownfield","FRESHFORD MILL"
ObjectID(52017e5dfa747515a700000f),51.385016,-2.3590583,"small_red","nlud-pdl-2009 hca ukgov brownfield","WALCOT STREET"
ObjectID(52017e5dfa747515a7000010),51.363285,-2.3524247,"small_red","nlud-pdl-2009 hca ukgov brownfield","MOD FOXHILL"
